game_date,pitcher,pitcher_name,team,opp_team,is_home,team_abbrev,opp_team_abbrev,park_team,park_factor,xwoba_vs_L_agg,xwoba_vs_R_agg,opp_pct_lhb,opp_pct_rhb,expected_xwoba_vs_opp,expected_xwoba_vs_avg,platoon_factor,start_idx
2026-08-02,453286,Max Scherzer,Toronto Blue Jays,St. Louis Cardinals,1,TOR,STL,TOR,0.9826783604810473,0.3150971974513909,0.28917678210877906,0.4359565360553177,0.5640434639446823,0.30047695659465923,0.2969529067115626,1.0118673695506863,1
2026-08-02,518876,Merrill Kelly,Arizona Diamondbacks,Cleveland Guardians,0,AZ,CLE,CLE,0.9736003782615407,0.3391475767013157,0.30041202878954115,0.6828326900486659,0.3171673099513341,0.3268619271706471,0.31203269316307347,1.0475246162741787,1
2026-08-02,527048,Martín Pérez,Atlanta Braves,Washington Nationals,1,ATL,WSH,ATL,0.9931650026838432,0.3089106582677582,0.3626449636181053,0.6341991341991342,0.3658008658008658,0.3285667136881233,0.3465246720130012,0.9481769704288064,1
2026-08-02,543037,Gerrit Cole,New York Yankees,Chicago Cubs,0,NYY,CHC,CHC,0.9776647594278283,0.2869802936947735,0.2992780348169433,0.4424938474159147,0.5575061525840853,0.2938363600332695,0.2955887124802924,0.9940716530333015,1
2026-07-31,543135,Nathan Eovaldi,Texas Rangers,Houston Astros,0,TEX,HOU,HOU,0.966151337901466,0.30445402953787865,0.29404321150679746,0.1730075434568711,0.8269924565431289,0.2958443615597313,0.2971664569161218,0.9955509939778847,1
2026-08-02,554430,Zack Wheeler,Philadelphia Phillies,Baltimore Orioles,0,PHI,BAL,BAL,1.0277754198240736,0.29557996166450073,0.22888907407845802,0.5469008949287372,0.4530991050712628,0.26536238018285657,0.24889634035427083,1.0661562150939967,1
2026-08-01,571945,Miles Mikolas,Washington Nationals,Atlanta Braves,0,WSH,ATL,ATL,0.9931650026838432,0.3513889399086615,0.344832973600875,0.4711771354755369,0.5288228645244631,0.34792199502605203,0.34679976349321096,1.0032359639508897,1
2026-08-01,592332,Kevin Gausman,Toronto Blue Jays,St. Louis Cardinals,1,TOR,STL,TOR,0.9826783604810473,0.31566832773724773,0.3180519905953434,0.4359565360553177,0.5640434639446823,0.3170128171926043,0.3173368917379147,0.9989787681364888,1
2026-08-01,594798,Jacob deGrom,Texas Rangers,Houston Astros,0,TEX,HOU,HOU,0.966151337901466,0.27902827437540734,0.268951297480567,0.1730075434568711,0.8269924565431289,0.270694690498615,0.27197439054901906,0.9952947773949569,1
2026-07-31,605488,Jeffrey Springs,Athletics,Detroit Tigers,1,ATH,DET,ATH,1.0556862730627306,0.2891074407716821,0.3175932687811207,0.4897524184292507,0.5102475815707493,0.3036422656225385,0.3090475203782891,0.9825099559150828,1
2026-08-02,607067,Colin Rea,Chicago Cubs,New York Yankees,1,CHC,NYY,CHC,0.9776647594278283,0.3535553787819858,0.3143522586563784,0.5649319455564451,0.4350680544435548,0.3364993535808207,0.3261131946940606,1.0318483246177874,1
2026-07-31,607200,Erick Fedde,Chicago White Sox,Tampa Bay Rays,0,CWS,TB,TB,1.0249077563035967,0.3568990979344592,0.3052921494779949,0.5111331024245424,0.4888668975754577,0.33167016914921094,0.32077423401493416,1.0339676132895683,1
2026-07-31,607259,Nick Martinez,Tampa Bay Rays,Chicago White Sox,1,TB,CWS,TB,1.0249077563035967,0.3074295830261686,0.3043240631458997,0.4453529117303521,0.5546470882696479,0.30570711546701396,0.30525571910998034,1.0014787482388527,1
2026-08-02,607536,Kyle Freeland,Colorado Rockies,Kansas City Royals,1,COL,KC,COL,1.2039900923256577,0.31850610928621376,0.36269310301183644,0.4243683510638298,0.5756316489361702,0.34394154134602617,0.34943700489414964,0.9842733784025303,1
2026-08-02,607625,Seth Lugo,Kansas City Royals,Colorado Rockies,0,KC,COL,COL,1.2039900923256577,0.3408749599914421,0.30517616003132014,0.2647158322056833,0.7352841677943166,0.314626197571508,0.31588580001935673,0.9960124752433583,1
2026-08-01,608331,Max Fried,New York Yankees,Chicago Cubs,0,NYY,CHC,CHC,0.9776647594278283,0.2913260435995513,0.29057911173389295,0.4424938474159147,0.5575061525840853,0.29090962448888563,0.29080319129359045,1.0003659973428136,1
2026-07-31,608372,Tomoyuki Sugano,Colorado Rockies,Kansas City Royals,1,COL,KC,COL,1.2039900923256577,0.39241435923252926,0.3381295309740278,0.4243683510638298,0.5756316489361702,0.36116629402987127,0.35441497945157824,1.0190491795486185,1
2026-07-31,608379,Michael Wacha,Kansas City Royals,Colorado Rockies,0,KC,COL,COL,1.2039900923256577,0.3108472626233755,0.32668553329483674,0.2647158322056833,0.7352841677943166,0.322492892293342,0.3219340520933983,1.0017358840927506,1
2026-08-01,621111,Walker Buehler,San Diego Padres,San Francisco Giants,1,SD,SF,SD,0.9379454982500672,0.35412986402770613,0.3444405443099508,0.3897663705166173,0.6102336294833827,0.34821711528911536,0.34734734022527736,1.0025040498749,1
2026-07-31,624133,Ranger Suarez,Boston Red Sox,Los Angeles Dodgers,0,BOS,LAD,LAD,0.9516113956170704,0.27073853727116043,0.3067442120115987,0.4848732624693377,0.5151267375306623,0.2892860230327926,0.2959425095894672,0.9775075011497723,1
2026-08-01,625643,Reynaldo López,Atlanta Braves,Washington Nationals,1,ATL,WSH,ATL,0.9931650026838432,0.33945857646354716,0.29736400431010795,0.6341991341991342,0.3658008658008658,0.3240603455243021,0.3099923759561397,1.0453816630966202,1
2026-08-02,641743,Anthony Kay,Chicago White Sox,Tampa Bay Rays,0,CWS,TB,TB,1.0249077563035967,0.312,0.339,0.5111331024245424,0.4888668975754577,0.32519940623453736,0.3309,0.9827724576444162,1
2026-07-31,642547,Freddy Peralta,New York Mets,Miami Marlins,1,NYM,MIA,NYM,0.9433965469929109,0.29873078810977427,0.29196367692705544,0.3996750609260763,0.6003249390739236,0.2946683225013021,0.29399381028187105,1.0022943075528847,1
2026-08-02,643377,Griffin Jax,Tampa Bay Rays,Chicago White Sox,1,TB,CWS,TB,1.0249077563035967,0.2824326715994186,0.25583474234926756,0.4453529117303521,0.5546470882696479,0.2676802075868202,0.26381412112431285,1.0146545850011024,1
2026-08-02,645261,Sandy Alcantara,Miami Marlins,New York Mets,0,MIA,NYM,NYM,0.9433965469929109,0.3337816060181516,0.3208616273142624,0.5154555753358149,0.4845444246641851,0.3275213023704021,0.3247376209254291,1.008572094101817,1
2026-08-02,650633,Michael King,San Diego Padres,San Francisco Giants,1,SD,SF,SD,0.9379454982500672,0.31134687160194,0.28998327121753303,0.3897663705166173,0.6102336294833827,0.29831008420053073,0.29639235133285513,1.006470250865286,1
2026-08-01,650911,Cristopher Sánchez,Philadelphia Phillies,Baltimore Orioles,0,PHI,BAL,BAL,1.0277754198240736,0.23151696294322674,0.30475300186887094,0.5469008949287372,0.4530991050712628,0.2647001466394003,0.2827821901911777,0.9360566394243115,1
2026-07-31,656302,Dylan Cease,Toronto Blue Jays,St. Louis Cardinals,1,TOR,STL,TOR,0.9826783604810473,0.30901585996887476,0.29217354422915953,0.4359565360553177,0.5640434639446823,0.29951606185819574,0.2972262389510741,1.0077039729574433,1
2026-07-31,656492,Foster Griffin,Washington Nationals,Atlanta Braves,0,WSH,ATL,ATL,0.9931650026838432,0.3443135178681904,0.3412531308430749,0.4711771354755369,0.5288228645244631,0.34269511523501534,0.3421712469506095,1.001531011997865,1
2026-08-02,656605,Mitch Keller,Pittsburgh Pirates,Cincinnati Reds,0,PIT,CIN,CIN,1.008378142014519,0.34128901809984297,0.3004890501371635,0.363740771123872,0.636259228876128,0.31532966194573775,0.31272904052596734,1.0083158935780205,1
2026-08-01,656849,David Peterson,Chicago Cubs,New York Yankees,1,CHC,NYY,CHC,0.9776647594278283,0.2791381599014918,0.35252290803689434,0.5649319455564451,0.4350680544435548,0.3110655194985916,0.3305074835962736,0.941175419430348,1
2026-08-01,656876,Drew Rasmussen,Tampa Bay Rays,Chicago White Sox,1,TB,CWS,TB,1.0249077563035967,0.2712288417673044,0.28609192765458785,0.4453529117303521,0.5546470882696479,0.27947260907738786,0.2816330018884028,0.9923290495200169,1
2026-08-01,663372,Ryan Feltner,Colorado Rockies,Kansas City Royals,1,COL,KC,COL,1.2039900923256577,0.34048960411482704,0.30900488235251566,0.4243683510638298,0.5756316489361702,0.32236600181049124,0.31845029888120907,1.012296119498204,1
2026-07-31,663554,Casey Mize,Detroit Tigers,Athletics,0,DET,ATH,ATH,1.0556862730627306,0.30807851028444133,0.3243073062481351,0.3760558804418453,0.6239441195581547,0.31820437209349717,0.31943866745902694,0.9961360489782031,1
2026-08-01,663969,Tyler Phillips,Miami Marlins,New York Mets,0,MIA,NYM,NYM,0.9433965469929109,0.3160689459642739,0.33271408306952277,0.5154555753358149,0.4845444246641851,0.3241342543463932,0.3277205419379481,0.9890568727540004,1
2026-08-01,664285,Framber Valdez,Detroit Tigers,Athletics,0,DET,ATH,ATH,1.0556862730627306,0.28461351257877143,0.3140166994460495,0.3760558804418453,0.6239441195581547,0.3029594581208791,0.3051957433858661,0.9926726197417518,1
2026-08-01,667755,José Soriano,Los Angeles Angels,Milwaukee Brewers,1,LAA,MIL,LAA,0.9858972749575392,0.31001656817516005,0.32844712134756004,0.4393137726471059,0.560686227352894,0.3203503255014199,0.32291795539584,0.9920486617373981,1
2026-07-31,668881,Hunter Greene,Cincinnati Reds,Pittsburgh Pirates,1,CIN,PIT,CIN,1.008378142014519,0.2820693817434656,0.2880541041917769,0.3492775286497259,0.6507224713502741,0.2859637751253762,0.2862586874572835,0.9989697698451464,1
2026-08-02,668909,Gavin Williams,Cleveland Guardians,Arizona Diamondbacks,1,CLE,AZ,CLE,0.9736003782615407,0.32150333883303134,0.3206718696483168,0.5261973641915783,0.4738026358084217,0.32110938654172005,0.3209213104037311,1.0005860506357533,1
2026-08-01,669302,Logan Gilbert,Seattle Mariners,Minnesota Twins,1,SEA,MIN,SEA,0.9192517466160512,0.28469645840309676,0.28564137382949245,0.4121132323897301,0.5878867676102699,0.2852519616787856,0.28535789920157373,0.9996287555974986,1
2026-08-01,669358,Shane Baz,Baltimore Orioles,Philadelphia Phillies,1,BAL,PHI,BAL,1.0277754198240736,0.2915877018072562,0.3183304079362023,0.4660948373523224,0.5339051626476776,0.30586577067267023,0.31030759609751846,0.9856857341531133,1
2026-08-01,669854,Ronel Blanco,Houston Astros,Texas Rangers,1,HOU,TEX,HOU,0.966151337901466,0.33861030651546703,0.2915940019750545,0.3926035991414892,0.6073964008585108,0.31005277235595274,0.30569889333717826,1.014242377429781,1
2026-08-02,669923,George Kirby,Seattle Mariners,Minnesota Twins,1,SEA,MIN,SEA,0.9192517466160512,0.3024746668764207,0.2987667078234457,0.4121132323897301,0.5878867676102699,0.300294806814336,0.2998790955393382,1.0013862629345673,1
2026-08-01,671096,Andrew Abbott,Cincinnati Reds,Pittsburgh Pirates,1,CIN,PIT,CIN,1.008378142014519,0.2729112374617177,0.31363534620428507,0.3492775286497259,0.6507224713502741,0.2994113301462184,0.3014181135815148,0.9933421936344455,1
2026-08-02,671737,Taj Bradley,Minnesota Twins,Seattle Mariners,0,MIN,SEA,SEA,0.9192517466160512,0.31837574269817215,0.32368598066250287,0.4900982128481726,0.5099017871518274,0.3210834425263859,0.32209290927320366,0.9968659144062015,1
2026-08-02,672456,Keider Montero,Detroit Tigers,Athletics,0,DET,ATH,ATH,1.0556862730627306,0.36636955995777976,0.320987428626457,0.3760558804418453,0.6239441195581547,0.338053645980585,0.3346020680258538,1.0103154710761217,1
2026-07-31,675660,Shane Drohan,Milwaukee Brewers,Los Angeles Angels,0,MIL,LAA,LAA,0.9858972749575392,0.3443135178681904,0.3412531308430749,0.2391882900864936,0.7608117099135063,0.3419851395826151,0.3421712469506095,0.9994560987527358,1
2026-07-31,676083,Janson Junk,Miami Marlins,New York Mets,0,MIA,NYM,NYM,0.9433965469929109,0.35639811701818763,0.3093992099171036,0.5154555753358149,0.4845444246641851,0.3336250586170474,0.3234988820474288,1.0313020450195372,1
2026-07-31,676440,Tanner Bibee,Cleveland Guardians,Arizona Diamondbacks,1,CLE,AZ,CLE,0.9736003782615407,0.3089677570254529,0.29418797138730757,0.5261973641915783,0.4738026358084217,0.3019650556334162,0.29862190707875114,1.011195255523512,1
2026-08-02,676917,Cade Cavalli,Washington Nationals,Atlanta Braves,0,WSH,ATL,ATL,0.9931650026838432,0.2965895176925758,0.3481418261000368,0.4711771354755369,0.5288228645244631,0.32385155709745794,0.33267613357779846,0.9734739718613543,1
2026-08-01,677952,Braxton Ashcraft,Pittsburgh Pirates,Cincinnati Reds,0,PIT,CIN,CIN,1.008378142014519,0.2933894079904486,0.2951370573569543,0.363740771123872,0.636259228876128,0.29450136602872734,0.2946127625470026,0.9996218883482433,1
2026-08-02,677958,Kumar Rocker,Texas Rangers,Houston Astros,0,TEX,HOU,HOU,0.966151337901466,0.37595490247530844,0.3250439367856454,0.1730075434568711,0.8269924565431289,0.3338519178946311,0.3403172264925443,0.9810021118691302,1
2026-08-01,678022,Jack Perkins,Athletics,Detroit Tigers,1,ATH,DET,ATH,1.0556862730627306,0.2800116529126075,0.3167740893015031,0.4897524184292507,0.5102475815707493,0.29876959717269,0.30574535838483435,0.977184408460049,1
2026-08-01,679883,Luinder Avila,Kansas City Royals,Colorado Rockies,0,KC,COL,COL,1.2039900923256577,0.348,0.332,0.2647158322056833,0.7352841677943166,0.3362354533152909,0.3368,0.998323792503833,1
2026-08-02,680694,Kyle Bradish,Baltimore Orioles,Philadelphia Phillies,1,BAL,PHI,BAL,1.0277754198240736,0.3073800132912763,0.2794779700279393,0.4660948373523224,0.5339051626476776,0.2924829683445618,0.2878485830069404,1.0161000804284301,1
2026-07-31,681517,Kyle Leahy,St. Louis Cardinals,Toronto Blue Jays,0,STL,TOR,TOR,0.9826783604810473,0.3337281582918662,0.33210550597334115,0.3744343891402715,0.6255656108597285,0.33271308280301515,0.33259230166889864,1.000363150720899,1
2026-07-31,682243,Bryce Miller,Seattle Mariners,Minnesota Twins,1,SEA,MIN,SEA,0.9192517466160512,0.3570602818420739,0.2954450371446739,0.4121132323897301,0.5878867676102699,0.3208374948014036,0.3139296105538939,1.0220045641292694,1
2026-07-31,683352,Mitch Bratt,Arizona Diamondbacks,Cleveland Guardians,0,AZ,CLE,CLE,0.9736003782615407,0.3443135178681904,0.3412531308430749,0.6828326900486659,0.3171673099513341,0.34334286314802454,0.3421712469506095,1.0034240638506489,1
2026-07-31,683618,Edgardo Henriquez,Los Angeles Dodgers,Boston Red Sox,1,LAD,BOS,LAD,0.9516113956170704,0.338026968324211,0.24671289308176103,0.4524115755627009,0.547588424437299,0.2880244377332488,0.27410711565449597,1.0507732973130666,1
2026-07-31,684007,Shota Imanaga,Chicago Cubs,New York Yankees,1,CHC,NYY,CHC,0.9776647594278283,0.28121304596499713,0.30509412120284785,0.5649319455564451,0.4350680544435548,0.29160293890674893,0.2979297986314926,0.9787639244083493,1
2026-08-01,684442,Kohl Drake,Arizona Diamondbacks,Cleveland Guardians,0,AZ,CLE,CLE,0.9736003782615407,0.3443135178681904,0.3412531308430749,0.6828326900486659,0.3171673099513341,0.34334286314802454,0.3421712469506095,1.0034240638506489,1
2026-08-02,686218,Emmet Sheehan,Los Angeles Dodgers,Boston Red Sox,1,LAD,BOS,LAD,0.9516113956170704,0.29170473530449503,0.27165042737202716,0.4524115755627009,0.547588424437299,0.2807232284205745,0.2776667197517675,1.0110078322369334,1
2026-07-31,686613,Hunter Brown,Houston Astros,Texas Rangers,1,HOU,TEX,HOU,0.966151337901466,0.29930036488885386,0.2888774666425896,0.3926035991414892,0.6073964008585108,0.29296953400755843,0.29200433611646887,1.0033054231451706,1
2026-07-31,687064,Brandon Young,Baltimore Orioles,Philadelphia Phillies,1,BAL,PHI,BAL,1.0277754198240736,0.3353089338228867,0.3063643671462054,0.4660948373523224,0.5339051626476776,0.3198552802436066,0.31504773714920975,1.0152597290109084,1
2026-08-01,687273,Quinn Mathews,St. Louis Cardinals,Toronto Blue Jays,0,STL,TOR,TOR,0.9826783604810473,0.3443135178681904,0.3412531308430749,0.3744343891402715,0.6255656108597285,0.34239904498935686,0.3421712469506095,1.0006657427845778,1
2026-08-02,687562,Jake Bennett,Boston Red Sox,Los Angeles Dodgers,0,BOS,LAD,LAD,0.9516113956170704,0.3443135178681904,0.3412531308430749,0.4848732624693377,0.5151267375306623,0.3427370306843615,0.3421712469506095,1.0016535104535935,1
2026-08-01,687570,Connor Prielipp,Minnesota Twins,Seattle Mariners,0,MIN,SEA,SEA,0.9192517466160512,0.3443135178681904,0.3412531308430749,0.4900982128481726,0.5099017871518274,0.3427530210547078,0.3421712469506095,1.0017002425226635,1
