mlb_id,player_name,stuff_plus_inhouse,stuff_source,plv,arch_stuff_2080
623352,Josh Hader,128.4,plv,5.836,
694819,"Misiorowski, Jacob",128.4,arch,5.898,80.0
656945,Tanner Scott,126.8,plv,5.766,
676263,Jack Dreyer,126.6,plv,5.586,
686973,Louis Varland,123.9,plv,5.58,
656730,Trevor Megill,123.2,plv,5.563,
695243,Mason Miller,120.7,plv,5.561,
694795,Josh Ekness,120.5,plv,5.532,
682254,Mason Montgomery,119.7,plv,5.53,
605483,Blake Snell,118.8,plv,5.521,
623149,Paul Sewald,118.7,plv,5.518,
671922,Cade Smith,118.2,plv,5.513,
656302,"Cease, Dylan",118.2,arch,5.321,76.0
669373,"Skubal, Tarik",117.9,arch,,73.0
668909,"Williams, Gavin",117.9,arch,5.242,73.0
677053,Andrew Nardi,117.4,plv,5.483,
800311,Didier Fuentes,117.4,plv,5.483,
681870,Erik Sabrowski,116.8,plv,5.463,
669093,Jeremiah Estrada,116.5,plv,5.46,
518886,Craig Kimbrel,116.5,plv,5.462,
623465,Evan Phillips,116.1,plv,5.436,
664854,Ryan Helsley,115.9,plv,5.434,
681402,Gus Varland,115.8,plv,5.431,
656848,Michael Petersen,115.7,plv,5.428,
642207,Devin Williams,115.2,plv,5.422,
594798,"deGrom, Jacob",115.1,arch,5.523,71.0
683175,Connor Phillips,115.1,plv,5.397,
519242,"Sale, Chris",115.1,arch,5.266,71.0
650911,"Sánchez, Cristopher",115.1,arch,5.136,71.0
656641,Jacob Latz,115.1,plv,5.402,
676604,Tyler Zuber,115.0,plv,5.391,
670280,David Bednar,114.8,plv,5.388,
681911,Alex Vesia,114.5,plv,5.387,
547973,Aroldis Chapman,114.3,plv,5.377,
666374,Matt Brash,114.3,plv,5.377,
699823,Tyler Davis,114.2,plv,5.375,
669622,Anthony Bender,114.2,plv,5.375,
670970,Adrián Morejón,114.0,plv,5.372,
694037,Daniel Palencia,113.6,plv,5.368,
696519,Samy Natera,113.3,plv,5.36,
674444,Steven Cruz,113.2,plv,5.357,
607192,"Glasnow, Tyler",113.2,arch,5.101,69.0
666200,"Luzardo, Jesús",113.2,arch,,69.0
686560,Gavin Collyer,112.8,plv,5.356,
664849,Danny Young,112.7,plv,5.352,
673929,Jordan Leasure,112.6,plv,5.348,
601713,Nick Pivetta,112.6,plv,5.331,
621074,Michael Rucker,112.5,plv,5.326,
693855,"Seymour, Ian",112.3,arch,,68.0
666171,Ryan Zeferjahn,111.6,plv,5.308,
621016,José Cuas,111.4,plv,5.306,
690986,"Harrison, Kyle",111.2,arch,5.449,67.0
694361,Will Klein,110.9,plv,5.305,
660271,"Ohtani, Shohei",110.6,arch,5.286,66.0
554430,"Wheeler, Zack",110.6,arch,5.301,66.0
695505,"Burns, Chase",110.6,arch,5.532,66.0
693645,"Schlittler, Cam",110.6,arch,5.188,66.0
681810,Austin Warren,110.4,plv,5.297,
595345,Steven Okert,110.4,plv,5.299,
662253,Andrés Muñoz,110.2,plv,5.296,
661395,Jhoan Durán,110.2,plv,5.296,
669062,Erik Miller,109.9,plv,5.291,
668933,Graham Ashcraft,109.7,plv,5.288,
691799,Grant Taylor,109.7,plv,5.287,
805427,Drew Sommers,109.5,plv,5.283,
664076,Garrett Cleavinger,109.4,plv,5.282,
689254,Mason Fluharty,109.2,plv,5.279,
643377,"Jax, Griffin",109.1,arch,5.218,65.0
672282,"Detmers, Reid",109.1,arch,5.265,65.0
701656,"Henderson, Logan",109.1,arch,,65.0
543135,"Eovaldi, Nathan",109.1,arch,,65.0
685126,Brandon Eisert,109.0,plv,5.275,
680742,Jonathan Bowlan,108.9,plv,5.268,
663687,Hogan Harris,108.7,plv,5.264,
684049,Brandan Bidois,108.6,plv,5.261,
676684,Will Vest,108.2,plv,5.258,
666142,"Ragans, Cole",107.8,arch,5.203,64.0
669302,"Gilbert, Logan",107.5,arch,5.21,63.0
676282,"Cantillo, Joey",107.5,arch,,63.0
806188,Cade Gibson,107.5,plv,5.252,
686218,"Sheehan, Emmet",107.5,arch,5.229,63.0
675911,"Strider, Spencer",107.5,arch,5.13,63.0
573204,Caleb Thielbar,107.1,plv,5.247,
837227,"Imai, Tatsuya",107.0,arch,,62.0
683003,"Jones, Jared",107.0,arch,5.306,62.0
801139,"Tolle, Payton",107.0,arch,5.29,62.0
677952,"Ashcraft, Braxton",107.0,arch,,62.0
656546,Jeff Hoffman,107.0,plv,5.245,
689147,Orion Kerkering,106.6,plv,5.24,
606996,Kyle Hart,106.6,plv,5.24,
