decision_id,snapshot_date,player_name,mlbam_id,bucket,verdict_top,reason_tag,confidence,settled_at,classification,residual,n_events
2026-06-06_aaron_judge_H_001,2026-06-06,Aaron Judge,592450.0,H,BUY,strong_hold,0.75,,,,
2026-06-06_bo_bichette_H_001,2026-06-06,Bo Bichette,666182.0,H,MIXED,no_convergence,1.0,2026-06-27,MIXED_NEUTRAL,-1.4743589743589745,78.0
2026-06-06_corbin_carroll_H_001,2026-06-06,Corbin Carroll,682998.0,H,BUY,strong_hold,0.75,2026-06-27,BUY_MISS,-1.6523188405797102,69.0
2026-06-06_elly_de_la_cruz_H_001,2026-06-06,Elly De La Cruz,682829.0,H,MIXED,no_convergence,1.0,,,,
2026-06-06_jordan_walker_H_001,2026-06-06,Jordan Walker,691023.0,H,BUY,archetype_breakout,0.75,2026-06-27,BUY_MISS,-1.382857142857143,70.0
2026-06-06_luis_arraez_H_001,2026-06-06,Luis Arraez,650333.0,H,MIXED,no_convergence,1.0,2026-06-27,MIXED_NEUTRAL,-1.397741935483871,62.0
2026-06-06_max_muncy_H_001,2026-06-06,Max Muncy,571970.0,H,MIXED,no_convergence,1.0,2026-06-27,MIXED_NEUTRAL,-1.3993103448275863,58.0
2026-06-06_michael_harris_ii_H_001,2026-06-06,Michael Harris II,671739.0,H,BUY,strong_hold,1.0,2026-06-27,BUY_MISS,-1.97609756097561,41.0
2026-06-06_pete_alonso_H_001,2026-06-06,Pete Alonso,624413.0,H,BUY,strong_hold,0.75,2026-06-27,BUY_MISS,-1.2967567567567568,74.0
2026-06-06_salvador_perez_H_001,2026-06-06,Salvador Perez,521692.0,H,FADE,pl_outcome_chase,0.75,2026-06-27,FADE_HIT,-1.4535593220338983,59.0
2026-06-06_trea_turner_H_001,2026-06-06,Trea Turner,607208.0,H,FADE,pl_outcome_chase,0.75,2026-06-27,FADE_HIT,-1.6015942028985508,69.0
2026-06-06_vladimir_guerrero_jr_H_001,2026-06-06,Vladimir Guerrero Jr.,665489.0,H,BUY,strong_hold,0.75,2026-06-27,BUY_MISS,-1.7817543859649123,57.0
2026-06-06_wyatt_langford_H_001,2026-06-06,Wyatt Langford,694671.0,H,MIXED,no_convergence,0.75,2026-06-27,MIXED_NEUTRAL,-0.88,75.0
2026-06-06_daniel_palencia_RP_001,2026-06-06,Daniel Palencia,694037.0,RP,BUY,archetype_breakout,0.75,,,,
2026-06-06_jhoan_duran_RP_001,2026-06-06,Jhoan Duran,661395.0,RP,BUY,strong_hold,1.0,2026-07-11,UNSETTLEABLE_V1_UNITS,,12.0
2026-06-06_pete_fairbanks_RP_001,2026-06-06,Pete Fairbanks,664126.0,RP,BUY,strong_hold,0.75,2026-07-11,UNSETTLEABLE_V1_UNITS,,12.0
2026-06-06_ryan_helsley_RP_001,2026-06-06,Ryan Helsley,664854.0,RP,MIXED,no_convergence,0.75,,,,
2026-06-06_tanner_scott_RP_001,2026-06-06,Tanner Scott,656945.0,RP,BUY,strong_hold,1.0,2026-07-11,UNSETTLEABLE_V1_UNITS,,11.0
2026-06-06_carlos_rodon_SP_001,2026-06-06,Carlos Rodón,607074.0,SP,MIXED,no_convergence,1.0,,,,
2026-06-06_framber_valdez_SP_001,2026-06-06,Framber Valdez,664285.0,SP,CAUTION,process_red_flag,0.5,2026-07-11,CAUTION_NEUTRAL,0.19191839388201792,6.0
2026-06-06_freddy_peralta_SP_001,2026-06-06,Freddy Peralta,642547.0,SP,MIXED,no_convergence,1.0,2026-07-11,MIXED_NEUTRAL,-8.148332134842049,6.0
2026-06-06_hunter_greene_SP_001,2026-06-06,Hunter Greene,668881.0,SP,BUY,process_upgrade,0.75,,,,
2026-06-06_jose_soriano_SP_001,2026-06-06,José Soriano,667755.0,SP,BUY,strong_hold,1.0,2026-07-11,BUY_MISS,-3.601224167219616,6.0
2026-06-06_kyle_bradish_SP_001,2026-06-06,Kyle Bradish,680694.0,SP,HOLD,post_tj_ramp,1.0,2026-07-11,HOLD_NEUTRAL,1.3457584394958353,6.0
2026-06-06_max_fried_SP_001,2026-06-06,Max Fried,608331.0,SP,BUY,under_the_radar,0.5,,,,
2026-06-06_merrill_kelly_SP_001,2026-06-06,Merrill Kelly,518876.0,SP,MIXED,no_convergence,1.0,2026-07-11,MIXED_NEUTRAL,-0.1539466234340079,6.0
2026-06-06_parker_messick_SP_001,2026-06-06,Parker Messick,800048.0,SP,CAUTION,process_red_flag,0.5,2026-07-11,CAUTION_NEUTRAL,3.671569930694151,6.0
2026-06-06_tyler_glasnow_SP_001,2026-06-06,Tyler Glasnow,607192.0,SP,BUY,under_the_radar,0.5,,,,
