rank,pitcher,player_name,gs_to,gs_last21,fp_per_start_to,fp_per_start_last21,recency_form_gap,prior_fp_per_start,prior_source,data_quality_tag,marcel_baseline,data_driven_estimate,is_on_il_at_split,xfp_rp3_per_start,xfp_rp3_sigma,xfp_rp3_sigma_raw,sigma_calibration_method,xfp_rp3_p25,xfp_rp3_p75,xfp_rp3_decision_p25,xfp_rp3_decision_p75,next_opp_team,next_opp_bat_index,next2_avg_bat_index,schedule_factor,xfp_rp3_per_start_sched,replacement_xfp_per_start,replacement_delta,signal,slump_pct_rank,slump_n_comparable,slump_bounce_pct,slump_next_rate,slump_delta,arche_overall_prior,slope_3yr_prior,traj_career_low_prior,shadow_velo_pct_prior,shadow_bb_pct_prior,high_k_z_year_prior
1,694819,"Misiorowski, Jacob",14,4.0,23.078571428571426,30.5,7.421,10.870330017031272,rp3_model,data_driven_full,10.87,17.86271312952714,0,17.86271312952714,7.923281433061716,3.2876686444239485,global_alpha_v1,12.518459802927012,23.20696645612727,15.645180628863187,20.080245630191094,,,,1.0,17.86,11.415,6.448,add,100.0,8.0,60.0,0.8965,0.0746,61.0,0.0,True,99.23664122137404,45.80152671755725,1.6801124209764082
2,650911,"Sánchez, Cristopher",14,3.0,19.978571428571428,24.766666666666666,4.788,14.678935134919374,rp3_model,data_driven_full,14.679,16.06919080952754,0,16.06919080952754,7.923281433061716,3.2876686444239485,global_alpha_v1,10.724937482927412,21.41344413612767,13.851658308863588,18.28672331019149,,,,1.0,16.07,11.415,4.654,add,26.6,21.0,90.5,0.784,0.0993,72.0,4.5,False,85.1145038167939,88.54961832061069,0.9645020011432835
3,656302,"Cease, Dylan",12,2.0,15.999999999999998,19.6,3.6,12.473168563831678,rp3_model,data_driven_full,12.473,15.05794447804377,0,15.05794447804377,7.923281433061716,3.2876686444239485,global_alpha_v1,9.713691151443644,20.402197804643897,12.840411977379818,17.275476978707722,,,,1.0,15.06,11.415,3.643,add,59.9,109.0,88.7,0.8023,0.1552,61.0,1.5,False,92.74809160305344,35.11450381679389,1.2210979719024493
4,694973,"Skenes, Paul",13,3.0,17.107692307692307,12.9,-4.208,17.495621600300954,rp3_model,data_driven_full,17.496,14.90938246851571,0,14.90938246851571,7.923281433061716,3.2876686444239485,global_alpha_v1,9.565129141915584,20.25363579511584,12.691849967851756,17.126914969179666,,,,1.0,14.91,11.415,3.494,add,14.3,7.0,100.0,1.0316,0.1609,70.0,-3.0,False,97.70992366412213,83.20610687022901,0.6753001830395089
5,669373,"Skubal, Tarik",8,1.0,16.049999999999997,8.399999999999999,-7.65,18.361929335189497,rp3_model,data_driven_full,18.362,14.682153345418037,0,14.682153345418037,7.923281433061716,3.2876686444239485,global_alpha_v1,9.337900018817908,20.026406672018165,12.464620844754084,16.89968584608199,CWS,1.0334,1.0334,0.9545073037562573,14.01,11.415,3.267,add,50.8,65.0,73.8,0.8176,0.127,78.0,-1.0,False,95.80152671755725,87.02290076335878,1.4136018888158668
6,594798,"deGrom, Jacob",14,4.0,15.185714285714283,17.7,2.514,15.78886936307965,rp3_model,data_driven_full,15.789,14.35590232872308,0,14.35590232872308,7.923281433061716,3.2876686444239485,global_alpha_v1,9.011649002122953,19.700155655323208,12.138369828059126,16.573434829387033,,,,1.0,14.36,11.415,2.941,add,65.2,144.0,67.9,0.9533,0.0771,61.0,-4.88,False,94.65648854961832,79.00763358778626,0.37939534547481996
7,808967,"Yamamoto, Yoshinobu",13,4.0,18.56153846153846,22.85,4.288,16.301759395668288,rp3_model,data_driven_full,16.302,14.212531487537754,0,14.212531487537754,7.923281433061716,3.2876686444239485,global_alpha_v1,8.868278160937628,19.55678481413788,11.9949989868738,16.43006398820171,,,,1.0,14.21,11.415,2.797,add,22.0,9.0,100.0,0.9907,0.2267,66.0,1.0,False,69.08396946564885,25.954198473282442,0.6659179295753813
8,519242,"Sale, Chris",13,3.0,16.4,9.266666666666666,-7.133,16.183184168246783,rp3_model,data_driven_full,16.183,14.092540062753876,0,14.092540062753876,7.923281433061716,3.2876686444239485,global_alpha_v1,8.748286736153748,19.436793389354,11.87500756208992,16.310072563417826,,,,1.0,14.09,11.415,2.677,add,65.2,144.0,75.0,0.9385,0.1217,72.0,4.0,False,75.57251908396947,70.99236641221374,1.0084014169201074
9,607192,"Glasnow, Tyler",7,0.0,17.385714285714283,17.385714285714283,0.0,15.615184922633656,rp3_model,data_driven_thin,15.615,13.84354724473702,0,13.84354724473702,7.923281433061716,3.2876686444239485,global_alpha_v1,8.499293918136893,19.187800571337142,11.626014744073066,16.061079745400974,,,,1.0,13.84,11.415,2.428,add,72.1,88.0,76.5,0.9622,0.12,56.0,-6.5,False,88.93129770992367,23.282442748091604,1.1232596171848066
10,693645,"Schlittler, Cam",15,4.0,17.77333333333333,13.974999999999998,-3.798,12.85699668369794,rp3_model,data_driven_full,12.857,13.721943495768071,0,13.721943495768071,7.923281433061716,3.2876686444239485,global_alpha_v1,8.377690169167945,19.0661968223682,11.50441099510412,15.939475996432028,,,,1.0,13.72,11.415,2.307,add,100.0,8.0,100.0,1.0435,0.1896,55.0,0.0,True,91.98473282442748,54.961832061068705,0.411122998970977
11,554430,"Wheeler, Zack",9,3.0,17.877777777777776,15.899999999999997,-1.978,16.948065189906433,rp3_model,data_driven_full,16.948,13.62025997764939,0,13.62025997764939,7.923281433061716,3.2876686444239485,global_alpha_v1,8.276006651049261,18.96451330424952,11.402727476985437,15.837792478313345,MIA,0.9554,0.9554,1.0813947907871997,14.73,11.415,2.205,hold,,,,,,70.0,1.5,False,83.20610687022901,95.41984732824427,1.5383810286060735
12,660271,"Ohtani, Shohei",11,3.0,19.48181818181818,18.2,-1.282,12.552602439426009,rp3_model,data_driven_full,12.553,13.27719059332179,0,13.27719059332179,7.923281433061716,3.2876686444239485,global_alpha_v1,7.932937266721663,18.62144391992192,11.059658092657838,15.494723093985744,TB,0.9689,0.9689,1.058670895224072,14.06,11.415,1.862,hold,82.3,79.0,68.9,0.9663,0.0673,80.0,3.64,False,96.18320610687023,67.93893129770993,1.8863717488880136
13,657746,"Ryan, Joe",14,4.0,14.735714285714284,16.674999999999997,1.939,13.693337578674686,rp3_model,data_driven_full,13.693,13.202194224042096,0,13.202194224042096,7.923281433061716,3.2876686444239485,global_alpha_v1,7.857940897441968,18.546447550642224,10.984661723378142,15.419726724706049,TEX,0.9856,0.9856,1.0135967928175722,13.38,11.415,1.787,hold,22.4,24.0,100.0,0.8443,0.2255,56.0,-1.0,False,54.58015267175572,75.95419847328245,0.952784434312574
14,693433,"Woo, Bryan",14,4.0,13.171428571428567,11.724999999999998,-1.446,15.014729802280623,rp3_model,data_driven_full,15.015,13.090392723142696,0,13.090392723142696,7.923281433061716,3.2876686444239485,global_alpha_v1,7.74613939654257,18.434646049742824,10.872860222478744,15.30792522380665,,,,1.0,13.09,11.415,1.675,hold,1.6,1.0,100.0,0.9381,0.4702,60.0,-1.0,True,85.49618320610686,88.16793893129771,0.9022965612684682
15,695505,"Burns, Chase",13,3.0,17.184615384615384,15.999999999999998,-1.185,10.354950255469117,rp3_model,data_driven_full,10.355,13.066211027108594,0,13.066211027108594,7.923281433061716,3.2876686444239485,global_alpha_v1,7.721957700508466,18.41046435370872,10.84867852644464,15.283743527772549,NYM,0.9983,0.9983,1.003207706481088,13.11,11.415,1.651,hold,100.0,2.0,,,,,0.0,False,98.47328244274809,81.67938931297711,2.004115134135882
16,682243,"Miller, Bryce",5,3.0,21.2,23.899999999999995,2.7,11.581886909106617,rp3_model,data_driven_thin,11.582,13.05005002283715,0,13.05005002283715,7.923281433061716,3.2876686444239485,global_alpha_v1,7.705796696237022,18.39430334943728,10.832517522173196,15.267582523501105,,,,1.0,13.05,11.415,1.635,hold,,,,,,40.0,-4.5,False,72.13740458015268,41.221374045801525,-0.11142371702150873
17,605483,"Snell, Blake",0,0.0,15.317265895242988,15.317265895242988,0.0,15.317265895242988,marcel_il,marcel_il,15.317,,1,13.02,7.923281433061716,3.2876686444239485,global_alpha_v1,7.675746673399872,18.364253326600128,10.802467499336046,15.237532500663953,,,,1.0,13.02,11.415,1.605,il,,,,,,70.0,2.5,False,82.82442748091603,9.541984732824428,0.7711224527756924
