rank,pitcher,player_name,gs_to,gs_last21,fp_per_start_to,fp_per_start_last21,recency_form_gap,prior_fp_per_start,prior_source,is_on_il_at_split,xfp_rp3_per_start,xfp_rp3_sigma,xfp_rp3_p25,xfp_rp3_p75,next_opp_team,next_opp_bat_index,next2_avg_bat_index,schedule_factor,xfp_rp3_per_start_sched,replacement_xfp_per_start,replacement_delta,signal,slump_pct_rank,slump_n_comparable,slump_bounce_pct,slump_next_rate,slump_delta
1,669373,"Skubal, Tarik",7,3.0,17.142857142857142,18.23333333333333,1.09,18.361929335189497,mlb_lag,1,15.284807173456105,3.550589473597954,12.889934573514285,17.679679773397925,,,,1.0,15.28,11.285,4.0,il,50.8,65.0,73.8,0.8176,0.127
2,694819,"Misiorowski, Jacob",7,4.0,17.34285714285714,16.125,-1.218,10.870330017031273,mlb_lag,0,14.923759151706289,3.550589473597954,12.528886551764469,17.31863175164811,NYY,1.0964,1.0964,0.9416434903093207,14.05,11.285,3.639,add,100.0,8.0,60.0,0.8965,0.0746
3,694973,"Skenes, Paul",6,4.0,18.0,18.4,0.4,17.495621600300954,mlb_lag,0,14.79892908697296,3.550589473597954,12.40405648703114,17.19380168691478,,,,1.0,14.8,11.285,3.514,add,14.3,7.0,100.0,1.0316,0.1609
4,693645,"Schlittler, Cam",7,3.0,19.485714285714284,20.966666666666665,1.481,12.85699668369794,mlb_lag,0,14.794942222152656,3.550589473597954,12.400069622210836,17.189814822094476,,,,1.0,14.79,11.285,3.51,add,100.0,8.0,100.0,1.0435,0.1896
5,594798,"deGrom, Jacob",6,3.0,16.183333333333334,16.53333333333333,0.35,15.78886936307965,mlb_lag,0,14.637061622730299,3.550589473597954,12.242189022788478,17.03193422267212,,,,1.0,14.64,11.285,3.352,add,65.2,144.0,67.9,0.9533,0.0771
6,607192,"Glasnow, Tyler",6,3.0,19.9,23.666666666666668,3.767,15.615184922633656,mlb_lag,0,14.596899670768277,3.550589473597954,12.202027070826457,16.991772270710097,,,,1.0,14.6,11.285,3.312,add,72.1,88.0,76.5,0.9622,0.12
7,519242,"Sale, Chris",7,3.0,17.94285714285714,24.33333333333333,6.39,16.183184168246783,mlb_lag,0,14.225576246513754,3.550589473597954,11.830703646571934,16.620448846455574,LAD,1.1086,1.1086,0.925262701048713,13.16,11.285,2.941,add,65.2,144.0,75.0,0.9385,0.1217
8,656302,"Cease, Dylan",7,4.0,13.757142857142854,13.474999999999998,-0.282,12.473168563831678,mlb_lag,0,14.0067552799641,3.550589473597954,11.61188268002228,16.40162787990592,LAA,0.9785,0.9785,1.0330257826190417,14.47,11.285,2.722,add,59.9,109.0,88.7,0.8023,0.1552
9,554430,Zack Wheeler,2,2.0,16.65,16.65,0.0,16.948065189906433,mlb_lag,0,13.851569850009717,3.550589473597954,11.456697250067897,16.246442449951537,,,,1.0,13.85,11.285,2.567,add,,,,,
10,650911,"Sánchez, Cristopher",7,4.0,12.557142857142852,10.799999999999995,-1.757,14.678935134919374,mlb_lag,0,13.851200956764298,3.550589473597954,11.456328356822478,16.24607355670612,,,,1.0,13.85,11.285,2.567,add,26.6,21.0,90.5,0.784,0.0993
11,666200,"Luzardo, Jesús",7,4.0,12.999999999999998,13.224999999999998,0.225,12.770792075331217,mlb_lag,0,13.721345125657068,3.550589473597954,11.326472525715248,16.116217725598887,COL,0.9674,0.9674,1.0679807557557273,14.65,11.285,2.437,add,52.2,60.0,75.0,0.7936,0.1792
