batter,pa,pitches,decision_raw,contact_raw,power_raw,process_raw,decision_plus,k_avoidance_plus,power_plus,process_plus
815829,1,3,-0.009000567593290626,0.35927144080605794,,0.35927144080605794,26.8,257.6,,163.8
805346,1,2,-0.020623234723522784,0.35050840415515166,,0.35050840415515166,15.4,253.8,,162.0
695596,1,4,-0.01918337348328413,0.34714859521729974,,0.34714859521729974,16.9,252.3,,161.3
694478,1,5,0.052879403220655666,0.3375094033293923,,0.3375094033293923,87.3,248.1,,159.3
814444,2,6,-0.030512580428230258,0.3349857497532746,,0.3349857497532746,5.8,247.0,,158.8
800953,1,3,-0.0012264663630461303,0.3345498273524473,,0.3345498273524473,34.4,246.8,,158.7
807720,1,4,-0.05244443505003003,0.3343730720891747,,0.3343730720891747,-15.7,246.8,,158.6
691268,1,3,-0.09502643936743872,0.3280779230586,,0.3280779230586,-57.3,244.0,,157.3
642133,11,52,0.06747074794089235,-0.013277627823704716,0.3408504071890795,0.32757277936537477,101.6,96.0,168.6,157.2
821075,2,6,0.13313061772656426,0.31973017285910066,,0.31973017285910066,165.8,240.4,,155.6
694187,2,5,0.02398261850034252,0.31932603065462584,,0.31932603065462584,59.1,240.2,,155.5
665856,2,7,0.04508711648029865,-0.035999556266638234,0.3505508229366074,0.31455126666996913,79.7,86.2,170.6,154.5
800029,1,2,-0.08579083498129375,0.30144400628578905,,0.30144400628578905,-48.3,232.5,,151.7
806956,2,5,0.06161916516529422,0.28792777985588636,,0.28792777985588636,95.9,226.6,,148.9
815586,1,3,0.01883213926864503,0.2867104080754025,,0.2867104080754025,54.0,226.1,,148.7
667663,1,4,-0.06667781686441573,0.2865360337195155,,0.2865360337195155,-29.6,226.0,,148.6
682276,2,6,-0.031387478466622404,0.2865404357154466,,0.2865404357154466,4.9,226.0,,148.6
821657,1,2,0.1063824789676574,0.2860013447949906,,0.2860013447949906,139.7,225.8,,148.5
829643,1,1,0.1823069879773138,0.2838308352134062,,0.2838308352134062,213.9,224.9,,148.0
695521,1,1,0.1863023102189938,0.2816401671878397,,0.2816401671878397,217.8,223.9,,147.6
703154,1,6,0.06275652088270262,0.28189603895807086,,0.28189603895807086,97.0,224.0,,147.6
821782,2,2,0.08399639263924055,0.28127228021396833,,0.28127228021396833,117.8,223.7,,147.5
699302,5,18,0.02256536137763586,0.02628782390591585,0.25264843589751373,0.27893625980342956,57.7,113.2,151.3,147.0
683454,1,3,-0.06531415688570297,0.2676649262365799,,0.2676649262365799,-28.3,217.8,,144.7
666165,1,1,0.1961806159499454,0.26790455116348044,,0.26790455116348044,227.5,217.9,,144.7
703448,1,1,0.22310971422643472,0.26797880164591426,,0.26797880164591426,253.8,218.0,,144.7
670232,1,3,0.03932970191552622,0.2668357971340787,,0.2668357971340787,74.1,217.5,,144.5
820984,2,4,0.023856827628107286,0.2660171920584892,,0.2660171920584892,58.9,217.1,,144.3
703492,13,53,-0.041143840913868635,-0.07366475959635423,0.3352359098346301,0.2615711502382759,-4.6,69.9,167.5,143.4
676566,7,29,0.08449336215531472,0.0004875318018857655,0.25967296558120995,0.2601604973830957,118.3,102.0,152.6,143.1
663445,1,3,-0.10747867904976142,0.2594035473351766,,0.2594035473351766,-69.5,214.3,,142.9
694197,5,12,0.09069137091042861,0.10311642000879274,0.15417026412562126,0.257286684134414,124.3,146.5,131.9,142.5
687783,1,3,0.02147920857133283,0.2567892703294075,,0.2567892703294075,56.6,213.1,,142.4
804603,1,2,0.07976069151354036,0.2532679726979702,,0.2532679726979702,113.6,211.6,,141.7
682192,1,4,0.03569672012317676,0.2532487711101714,,0.2532487711101714,70.5,211.6,,141.7
621028,3,13,-0.05199588269576018,0.2523949644394504,,0.2523949644394504,-15.2,211.2,,141.5
668965,4,9,0.11963152771177693,0.2515881196174134,,0.2515881196174134,152.6,210.9,,141.3
829939,1,1,0.1907473011793172,0.24995928732698264,,0.24995928732698264,222.2,210.2,,141.0
668472,1,3,0.04945315981235939,0.2498846726296551,,0.2498846726296551,84.0,210.1,,140.9
802407,2,8,0.0385432147754888,0.24951885389045894,,0.24951885389045894,73.3,210.0,,140.9
700321,1,1,0.2433451543386996,0.2494073434808399,,0.2494073434808399,273.6,209.9,,140.8
813666,1,6,0.022018186482921125,0.24873614311195288,,0.24873614311195288,57.2,209.6,,140.7
827665,1,4,0.03090142277785312,0.24548637506758622,,0.24548637506758622,65.8,208.2,,140.0
676466,1,2,0.03771622261967367,0.2448061272124004,,0.2448061272124004,72.5,207.9,,139.9
683427,3,9,-0.0037923895122396775,0.24503310667813671,,0.24503310667813671,31.9,208.0,,139.9
570482,2,4,-0.01669809986238096,0.24432925468893482,,0.24432925468893482,19.3,207.7,,139.8
693819,1,1,0.1739632395827897,0.2436746962602843,,0.2436746962602843,205.8,207.4,,139.6
815734,1,4,-0.02873623903404849,0.24281428151921672,,0.24281428151921672,7.5,207.1,,139.5
699127,2,8,-0.01430077798021528,0.24186882994737324,,0.24186882994737324,21.6,206.7,,139.3
682775,2,5,0.055250215768334665,0.2414933136309847,,0.2414933136309847,89.7,206.5,,139.2
692371,1,1,0.19375267061607643,0.24083048764810214,,0.24083048764810214,225.1,206.2,,139.1
815121,1,1,0.20505615927901083,0.23698296834198282,,0.23698296834198282,236.2,204.5,,138.2
701392,3,5,0.023333377845914348,0.2363333864150928,,0.2363333864150928,58.4,204.3,,138.1
670148,1,2,-0.026918148915787005,0.2348676247117497,,0.2348676247117497,9.3,203.6,,137.8
683490,1,1,0.144338839144604,0.23182560129264113,,0.23182560129264113,176.8,202.3,,137.2
695573,1,6,0.007037303443018052,0.2317039226057377,,0.2317039226057377,42.5,202.3,,137.1
702518,2,7,0.10305221943019224,0.2301165167544021,,0.2301165167544021,136.4,201.6,,136.8
823817,1,1,0.21371901699695744,0.23018864321083488,,0.23018864321083488,244.7,201.6,,136.8
806982,1,2,0.02920470792581216,0.22929531983073942,,0.22929531983073942,64.2,201.2,,136.6
701771,3,4,0.1179233525972691,0.22863006556108875,,0.22863006556108875,151.0,200.9,,136.5
677338,3,7,0.029052467973601084,0.22711037413498847,,0.22711037413498847,64.0,200.3,,136.2
670541,489,1940,0.045336744834350164,0.03481277789896215,0.19174082322124403,0.22655360112020617,80.0,116.9,139.3,136.1
696160,1,1,0.1923795723625244,0.22633453847526314,,0.22633453847526314,223.8,199.9,,136.0
703204,2,4,0.059289240631553296,0.2262750912232441,,0.2262750912232441,93.6,199.9,,136.0
829997,1,3,0.03583822720262703,0.22263177889802727,,0.22263177889802727,70.7,198.3,,135.2
808233,1,5,0.04302852158420573,0.22197499329144144,,0.22197499329144144,77.7,198.0,,135.1
825159,1,1,0.14104097700802312,0.22204048358399853,,0.22204048358399853,173.6,198.1,,135.1
801881,1,2,0.0068305137958804135,0.22189643889471752,,0.22189643889471752,42.3,198.0,,135.1
694186,1,2,0.1538064000005278,0.22036071770086926,,0.22036071770086926,186.1,197.3,,134.8
671272,1,3,0.021303572831374473,0.21985387109879168,,0.21985387109879168,56.5,197.1,,134.7
701618,1,2,0.11176919348537119,0.21699754242054894,,0.21699754242054894,144.9,195.9,,134.1
811312,1,2,-0.04512130346500279,0.21629066919229328,,0.21629066919229328,-8.5,195.6,,133.9
687260,2,3,0.11463774407804002,0.21592120621287,,0.21592120621287,147.7,195.4,,133.8
829035,2,4,0.11291187284813897,0.21525541653382874,,0.21525541653382874,146.1,195.1,,133.7
808024,1,1,0.15685624916455043,0.21480490707671357,,0.21480490707671357,189.0,194.9,,133.6
800371,1,2,0.1126653675981206,0.21325717429757854,,0.21325717429757854,145.8,194.3,,133.3
808137,2,6,0.14092013982100313,0.21320875738059814,,0.21320875738059814,173.5,194.2,,133.3
703673,3,6,0.0766888876404154,0.2109552906828213,,0.2109552906828213,110.6,193.3,,132.8
803385,1,2,-0.006358498833914844,0.20756634416504838,,0.20756634416504838,29.4,191.8,,132.1
